input_size,distribution,deterministic_time_seconds,randomized_time_seconds
100,random,5.9366666694889623e-05,9.066666666512901e-05
100,sorted,0.0003669666667368195,0.00010213333340895285
100,reverse_sorted,0.0002533333333758492,8.55999999960962e-05
250,random,0.00016510000000380387,0.00023696666668608182
250,sorted,0.0022204333334533053,0.0002465999999306708
250,reverse_sorted,0.0016188000000359655,0.00023460000011255033
500,random,0.00038146666671915835,0.0005497666666845665
500,sorted,0.00889469999992798,0.0005339666667320367
500,reverse_sorted,0.006304200000082953,0.0005397000000660531
750,random,0.0006245333333178374,0.0009181000000353379
750,sorted,0.022186200000002525,0.0009302999999363237
750,reverse_sorted,0.01502053333342701,0.0008406999998745354
900,random,0.0008534000000963715,0.0010244666667252507
900,sorted,0.030366566666771178,0.0011138000000604127
900,reverse_sorted,0.02301026666661225,0.0011240333334020154
